Year Reported to CDP,Account Number,Organization,City,Country,,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update,Water 2014 - Number of drivers,City,lon,lat,Per capita Emissions (tonnes),Country total emissions 2020 (tonnes)
2018,36039,Accra Metropolitan Assembly,Accra,Ghana,Ghana,Africa,"CDP Cities, C40",public,Yes,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,911135,181038,141954,1234128,1234128,,,,1986580,2017,POINT (-0.16819 5.56543),2020-01-12T04:30:40.780,,POINT,-0.16819,5.56543,0.62123247,31610154.31
2018,32480,City of Adelaide,Adelaide,Australia,Australia,Southeast Asia and Oceania,CDP Cities,public,Yes,2016-07-01 - 2017-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,218901,373243,384007,537482,917405,Decreased,Technological change,,23916,2017,POINT (138.601 -34.9285),2020-01-12T04:30:40.780,228,POINT,138.601,-34.9285,22.47374143,556624251.1
2018,73706,City of Alameda,Alameda,United States,United States,North America,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,300517,118860,5684,421487,421854,Increased,Increased energy/electricity consumption,,75961,2017,POINT (122.163 37.4522),2020-01-12T04:30:40.780,,POINT,122.163,37.4522,5.548728953,6718634480
2019,54337,Greater Amman Municipality,Amman,Jordan,Jordan,Middle East,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,3561386,4209529,244991,8015906,8015906,Increased,Population increase,,4000000,2019,POINT (35.9284 31.9454),2020-01-12T04:30:42.857,,POINT,35.9284,31.9454,2.0039765,31706903.06
2018,54337,Greater Amman Municipality,Amman,Jordan,Jordan,Middle East,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3561386,4209529,244991,8015906,8015906,Increased,Population increase,,3800000,2017,POINT (35.9284 31.9454),2020-01-12T04:30:40.780,,POINT,35.9284,31.9454,2.109448947,31706903.06
2018,50566,City of Anchorage,Anchorage,United States,United States,North America,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2305156,1252237,,3557393,3557393,This is our first year of calculation,Previous data was not reliable,,297483,2017,POINT (-149.9 61.2181),2020-01-12T04:30:40.780,,POINT,-149.9,61.2181,11.95830686,6718634480
2018,52638,Prefeitura de Aracaju,Aracaju,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,737282,300814,89532,1128628,,This is our first year of calculation,Lack of knowledge overcome,,641523,2016,POINT (-37.0731 -10.9472),2020-01-12T04:30:40.780,,POINT,-37.0731,-10.9472,1.759294678,1105067347
2019,52638,Prefeitura de Aracaju,Aracaju,Brazil,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,737282,300814,89532,1128628,,This is our first year of calculation,Lack of knowledge overcome,,641523,2016,POINT (-37.0731 -10.9472),2020-01-12T04:30:42.857,,POINT,-37.0731,-10.9472,1.759294678,1105067347
2018,60229,Municipality of Arendal,Arendal,Norway,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,167179,,Increased,Population increase,,44630,2017,POINT (8.77245 58.4618),2020-01-12T04:30:40.780,,POINT,8.77245,58.4618,3.745888416,54286282.7
2019,55799,"Arlington, VA",Arlington,United States,United States,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"This report documents the greenhouse gas inventory results for Arlington County, Virginia, for calendar year2016. This inventory updates results and methodologies previously reported for 2007 and 2012 as new data andmethodology refinements have emerged.",No,"CH4, CO2, N20",,,,,,,1067210,1151808,40983,2260001,,Decreased,Increased energy/electricity consumption,,220400,2016,POINT (-76.0026 37.2265),2020-01-12T04:30:42.857,,POINT,-76.0026,37.2265,10.25408802,6718634480
