City Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),City Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update,Water 2014 - Number of drivers,City,lon,lat,Year to reach net zero,City total emissions (t),City per capita emissions (t),Country total emissions 2020 (t),Country per capita emissions 2020 (t)
2018,36039,Accra Metropolitan Assembly,Accra,Ghana,Africa,"CDP Cities, C40",public,Yes,2015-01-01 - 2015-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,911135,181038,141954,1234128,1234128,,,,1986580,2017,POINT (-0.16819 5.56543),2020-01-12T04:30:40.780,,POINT,-0.16819,5.56543,> 2050,1234128,0.6,31610154.3,1
2018,32480,City of Adelaide,Adelaide,Australia,Southeast Asia and Oceania,CDP Cities,public,Yes,2016-07-01 - 2017-06-30,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,218901,373243,384007,537482,917405,Decreased,Technological change,,23916,2017,POINT (138.601 -34.9285),2020-01-12T04:30:40.780,228,POINT,138.601,-34.9285,2030,537482,22.5,556624251.1,21.9
2018,73706,City of Alameda,Alameda,United States,North America,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,300517,118860,5684,421487,421854,Increased,Increased energy/electricity consumption,,75961,2017,POINT (122.163 37.4522),2020-01-12T04:30:40.780,,POINT,122.163,37.4522,2028,421487,5.5,6718634480,20
2019,54337,Greater Amman Municipality,Amman,Jordan,Middle East,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,3561386,4209529,244991,8015906,8015906,Increased,Population increase,,4000000,2019,POINT (35.9284 31.9454),2020-01-12T04:30:42.857,,POINT,35.9284,31.9454,> 2050,8015906,2,31706903.1,3.1
2018,54337,Greater Amman Municipality,Amman,Jordan,Middle East,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,A metropolitan area,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3561386,4209529,244991,8015906,8015906,Increased,Population increase,,3800000,2017,POINT (35.9284 31.9454),2020-01-12T04:30:40.780,,POINT,35.9284,31.9454,> 2050,8015906,2.1,31706903.1,3.1
2018,50566,City of Anchorage,Anchorage,United States,North America,CDP Cities,public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2305156,1252237,,3557393,3557393,This is our first year of calculation,Previous data was not reliable,,297483,2017,POINT (-149.9 61.2181),2020-01-12T04:30:40.780,,POINT,-149.9,61.2181,2028,3557393,12,6718634480,20
2018,52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,737282,300814,89532,1128628,,This is our first year of calculation,Lack of knowledge overcome,,641523,2016,POINT (-37.0731 -10.9472),2020-01-12T04:30:40.780,,POINT,-37.0731,-10.9472,> 2050,1128628,1.8,1105067347,5.2
2019,52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,737282,300814,89532,1128628,,This is our first year of calculation,Lack of knowledge overcome,,641523,2016,POINT (-37.0731 -10.9472),2020-01-12T04:30:42.857,,POINT,-37.0731,-10.9472,> 2050,1128628,1.8,1105067347,5.2
2018,60229,Municipality of Arendal,Arendal,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,,,,167179,,Increased,Population increase,,44630,2017,POINT (8.77245 58.4618),2020-01-12T04:30:40.780,,POINT,8.77245,58.4618,2021,167179,3.7,54286282.7,10
2019,55799,"Arlington, VA",Arlington,United States,North America,"CDP Cities, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"This report documents the greenhouse gas inventory results for Arlington County, Virginia, for calendar year2016. This inventory updates results and methodologies previously reported for 2007 and 2012 as new data andmethodology refinements have emerged.",No,"CH4, CO2, N20",,,,,,,1067210,1151808,40983,2260001,,Decreased,Increased energy/electricity consumption,,220400,2016,POINT (-76.0026 37.2265),2020-01-12T04:30:42.857,,POINT,-76.0026,37.2265,2028,2260001,10.3,6718634480,20
2018,55799,"Arlington, VA",Arlington,United States,North America,CDP Cities,public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1067210,1151809,40983,2260001,,Decreased,Policy change,,222800,2016,POINT (-76.0026 37.2265),2020-01-12T04:30:40.780,,POINT,-76.0026,37.2265,2028,2260001,10.1,6718634480,20
2019,52897,City of Aspen,Aspen,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The inventory is also compliant with the guidelines that are laid out in the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI).,No,"CH4, CO2, N20",,,,,,,186961,82643,35715,305319,,Decreased,Other: Electric utility generation mix changes toward renewable energy.,,9003,2017,POINT (-106.837 39.195),2020-01-12T04:30:42.857,59,POINT,-106.837,39.195,2028,305319,33.9,6718634480,20
2018,31149,City of Athens,Athens,Greece,Europe,"CDP Cities, C40",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,1330352,2697612,443058,4391579,4471023,Decreased,Technological change,,664046,2011,POINT (23.7275 37.9838),2020-01-12T04:30:40.780,,POINT,23.7275,37.9838,2030,4391579,6.6,96146809.3,8.7
2019,31149,City of Athens,Athens,Greece,Europe,"CDP Cities, C40, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,1175500,2038412,614277,3537650,3828189,Increased,Increased energy/electricity consumption,,664046,2011,POINT (23.7275 37.9838),2020-01-12T04:30:42.857,,POINT,23.7275,37.9838,2030,3537650,5.3,96146809.3,8.7
2018,1093,City of Atlanta,Atlanta,United States,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2998249,4582255,0,7580504,0,Decreased,Change in available data,,450182,2017,POINT (-84.388 33.749),2020-01-12T04:30:40.780,,POINT,-84.388,33.749,2028,7580504,16.8,6718634480,20
2018,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,9118050,1089611,578066,7750281,10266557,Increased,Population increase,,1657200,2017,POINT (174.742 -36.8153),2020-01-12T04:30:40.780,,POINT,174.742,-36.8153,2034,7750281,4.7,83680846.9,17.3
2019,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Version 1 (published in 2014),No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,8388906,861222,876233,7551034,10126329,Decreased,Other,,1614400,2016,POINT (174.742 -36.8153),2020-01-12T04:30:42.857,,POINT,174.742,-36.8153,2034,7551034,4.7,83680846.9,17.3
2018,1184,City of Austin,Austin,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,8251485,6343684,0,12527277,13486797,Decreased,Policy change,,1265974,2017,POINT (-97.7431 30.2672),2020-01-12T04:30:40.780,101,POINT,-97.7431,30.2672,2028,12527277,9.9,6718634480,20
2019,1184,City of Austin,Austin,United States,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),We used GPC Basic reporting level and add IPCC emissions from industrial sources,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,7964557,5616022,,11524547,12485799,Decreased,Policy change,,1227000,2017,POINT (-97.7431 30.2672),2020-01-12T04:30:42.857,101,POINT,-97.7431,30.2672,2028,11524547,9.4,6718634480,20
2018,58395,Bærum Kommune,Bærum,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,219503,2445,10520,232468,,Decreased,Legislative change,,125708,2017,POINT (10.5938 59.9205),2020-01-12T04:30:40.780,13,POINT,10.5938,59.9205,2021,232468,1.8,54286282.7,10
2019,1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, Global Covenant of Mayors",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Barcelona's local Government uses it's own protocol, which takes into account IPCC 2016 and which has been parcialy adapted to the GPC Protocol.",No,"CH4, CO2, N20",,,,,,,2759033,734820,71082,2812730,,Decreased,,,1620343,2018,POINT (2.1775 41.3823),2020-01-12T04:30:42.857,,POINT,2.1775,41.3823,2026,2812730,1.7,350341744.7,7.5
2018,1499,Ajuntament de Barcelona,Barcelona,Spain,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,2955953,672916,48921,2822928,2822928,Increased,Change in weather conditions,,1604555,2015,POINT (2.1775 41.3823),2020-01-12T04:30:40.780,,POINT,2.1775,41.3823,2026,2822928,1.8,350341744.7,7.5
2018,31151,City of Basel-Stadt,Basel,Switzerland,Europe,"CDP Cities, C40",public,Yes,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,783932,,,825704,853823,This is our first year of calculation,,,198988,2017,POINT (7.5928 47.5619),2020-01-12T04:30:40.780,38,POINT,7.5928,47.5619,2019,825704,4.1,47580910.1,5.5
2018,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,,GPC gases,,,,,,,3223716,542481,1619505,5385703,,Increased,Change in accounting methodology,,2375151,2010,POINT (-43.9345 -19.9167),2020-01-12T04:30:40.780,204,POINT,-43.9345,-19.9167,> 2050,5385703,2.3,1105067347,5.2
2019,35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF, Global Covenant of Mayors",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Emissões de GEE por consumo de combustível - Diferentes concentrações de biocombustíveis (etanol e biodiesel) foram estabelecidas pela autoridade nacional para a distribuição de Gasolina Automotiva e Diesel. Essas concentrações foram consideradas nos cálculos e aplicadas ao total de cada combustível verificado para o município, de acordo com os desenvolvimentos regulatórios do setor. Emissões de GEE para o consumo de eletricidade - As emissões indiretas de CO2 por consumo de eletricidade foram calculadas levando-se em consideração o fator de emissão médio do Sistema Interligado Nacional em cada ano do período considerado. Emissões de GEE por tratamento e lançamento de efluentes líquidos - Belo Horizonte possui 4 ETARs em operação, que emitem metano e óxido nitroso.Há uma quinta ETE que emprega processos físico-químicos que não emitem gases de efeito estufa. Uma fração do esgoto coletado em Belo Horizonte não é encaminhada para nenhuma estação de tratamento, sendo depositada diretamente no corpo d'água; outra fração de esgoto, que não é coletada, é presumivelmente tratada em sistemas sépticos (fossas sépticas), seguida de infiltração. Emissões de GEE por tratamento de resíduos sólidos urbanos - Aterro - Os resíduos sólidos gerados em Belo Horizonte são levados para disposição em aterro sanitário (CTR Macaúbas), onde não há sistema de recuperação de biogás. Assumiu-se que 100% do biogás gerado em resíduos sólidos urbanos em massa é liberado na atmosfera. Uma fração do lixo coletado na cidade ainda está disposta ao centro de tratamento maciço CTR-BR-040, em Belo Horizonte, em uma área separada onde, a partir de 2010, iniciou um sistema de geração termelétrica a partir do biogás gerado no aterro. Assim, o biogás derivado do antigo resíduo maciço não deve ser considerado no inventário de GEE a partir de 2010. É considerado apenas a fração derivada das provisões em área separada recente e não coberta pelo sistema de recuperação de biogás. Vale ressaltar que, de acordo com este modelo de decaimento de primeira ordem, para fins deste inventário, adotamos um período de 10 (dez) anos como degradação do horizonte de resíduos dentro do maciço. Compostagem - A BH também realiza compostagem para resíduos orgânicos. Essas atividades ocorrem no CTRS Rod BR-040 e podem incorrer em óxido nitroso e metano.",No,"CH4, CO2, N20",,,,,,,2484635.6,466725.77,1441939.49,4393300.86,,Decreased,Change in accounting methodology,,2513451,2016,POINT (-43.9345 -19.9167),2020-01-12T04:30:42.857,204,POINT,-43.9345,-19.9167,> 2050,4393300.86,1.7,1105067347,5.2
