iso3,country,year,pop_mln,TotalEmissions_MT,PCC,gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2
AFG,Afghanistan,2020,38.05494,35.2,0.9,24.34141731,52.56639631,7.808377028,0.42310001,27.34597445,0,34.87079923,27.86209879,0,7.734234863,0.153815434,2.50E-05,0.152195554,7.89E-09,7.26E-08,0,0
ALB,Albania,2020,2.942034,9,3.1,15.62208271,32.33566536,5.714210391,-0.246591988,3.288812975,0,8.031002915,40.86264686,0,2.046324707,6.025923425,8.57E-05,1.919841292,3.22E-05,0.000127411,0,0
DZA,Algeria,2020,43.333252,236.3,5.5,206.9822693,340.8599887,157.0187645,-3.48420006,79.27759552,0,219.6631917,1163.194443,0,-8.427462891,56.43334469,0.001466418,17.36522889,0.001766284,0.017422078,0,0
AND,Andorra,2020,0.077184,0.5,6.3,3.583351851,2.70394216,0.486553649,-0.03035,0,,0.112719003,10.75724453,0,0,2.816438973,3.30E-05,0.077000414,0.026635146,0.082375199,0,0
AGO,Angola,2020,32.827402,94,2.9,109.5002823,127.3707176,37.34813468,110.0200017,56.62779808,0,91.34920619,161.9316611,0,-0.40034848,11.10156485,0.000231578,3.411605011,0.000949436,0.00806595,0,0
ATG,Antigua and Barbuda,2020,0.10511,0.7,7,1.486580014,2.131160855,0.660766756,0.049995001,0.07760218,0,0.5496896,9.982743793,0,0.170586639,0.963340643,1.66E-05,0.087664591,0.002003334,0.017762159,0,0
ARG,Argentina,2020,45.5104,389.3,8.6,495.1039734,779.3961741,207.1792692,103.1500022,182.1269913,0,313.4087244,4994.781735,0,-33.30484766,288.9900629,0.006691299,37.28908918,0.193867934,1.943912971,0,0
ARM,Armenia,2020,2.938679,9.7,3.3,13.01433849,21.0433908,5.505762736,-0.010799996,4.240420381,0,9.029180456,39.01605547,0,1.581699829,3.552084575,6.32E-05,0.976911472,0.000401751,0.003278449,0,0
AUS,Australia,2020,25.398178,556.6,21.9,1495.481567,1014.047439,421.6117249,6.19642516,135.0125262,0,329.8675392,11432.02996,0,-25.49988477,1214.63465,0.019991386,25.34763597,13.12232625,154.7805618,0,86.52502884
AUT,Austria,2020,8.78221,82,9.3,450.8348083,355.3663857,66.51691882,-5.216241201,15.53160683,0,28.25598701,1925.5035,0,40.16013672,367.27519,0.004742472,8.780279695,3.80927334,15.5271964,0,13.37476471
AZE,Azerbaijan,2020,10.099743,66,6.5,60.57314301,92.3899709,34.84434827,-7.964999835,31.1622537,0,59.17778393,445.3939664,0,3.726694092,26.40485554,0.000602044,3.930466013,0.03850898,0.865516927,0,0
